Jose Merced [MX]	Michael Davidson [US]	L	28	13
Jack Moore [CA]	Felipe Peña Welsh [MX]	W	3	1
Jack Moore [CA]	Eduardo Martínez Mercado [MX]	W	6	2
Jack Moore [CA]	Caleb Gedemer [US]	W	9	3
Jack Moore [CA]	Pablo Nuñez [MX]	T	10	4
Jack Moore [CA]	Tanner Hurley [US]	L	10	5
Jack Moore [CA]	rodrigo perez [PE]	W	13	6
Jack Moore [CA]	Alexis Alfredo Lopez Gordillo [MX]	W	16	7
Jack Moore [CA]	Ruben Alejandro Canul Mendoza [MX]	W	19	8
Jack Moore [CA]	Pablo Lopez [MX]	W	22	9
Jack Moore [CA]	Azul Garcia Griego [US]	W	25	10
Jack Moore [CA]	Diego Cassiraga [AR]	T	26	11
Jack Moore [CA]	Sotero De Jesus De Dios Gonzalez [MX]	T	27	12
Calvin Connor [US]	Jesus Valdes [MX]	W	3	1
Calvin Connor [US]	Mauricio Patino [US]	L	3	2
Calvin Connor [US]	RAUL SOBERANO ALPUCHE [MX]	W	6	3
Calvin Connor [US]	Carlos Lobo [MX]	W	9	4
Calvin Connor [US]	Emilia Rahman [MX]	W	12	5
Calvin Connor [US]	Jonathan Enrique Olguin Suarez [MX]	W	15	6
Calvin Connor [US]	Rodrigo Segovia [MX]	W	18	7
Calvin Connor [US]	Carlos Medina Astete [PE]	L	18	8
Calvin Connor [US]	Dennis Peroff [CA]	W	21	9
Calvin Connor [US]	Rafael Yuiti [BR]	L	21	10
Calvin Connor [US]	Justin Turner [US]	W	24	11
Calvin Connor [US]	andres estefano gajardo lopehandia [CL]	W	27	12
Eder Jarillo [MX]	Julio Guevara [MX]	W	3	1
Eder Jarillo [MX]	Hugo Savi Aguilar Hernandez [MX]	W	6	2
Eder Jarillo [MX]	Arath Gomez [MX]	W	9	3
Eder Jarillo [MX]	Rogelio Espinoza [MX]	W	12	4
Eder Jarillo [MX]	Erick Castro [MX]	W	15	5
Eder Jarillo [MX]	Jan Hausmann [DE]	W	18	6
Eder Jarillo [MX]	Brent Tonisson [AU]	L	18	7
Eder Jarillo [MX]	Tanner Hurley [US]	W	21	8
Eder Jarillo [MX]	Andrew Hedrick [US]	L	21	9
Eder Jarillo [MX]	andres estefano gajardo lopehandia [CL]	W	24	10
Eder Jarillo [MX]	Leandro Fernandes [BR]	L	24	11
Eder Jarillo [MX]	Fernando Elias Vega [MX]	W	27	12
Andrew Hedrick [US]	Carlos Alberto Bravo Duran [MX]	W	3	1
Andrew Hedrick [US]	Rodrigo Torres [MX]	W	6	2
Andrew Hedrick [US]	Lysette del Carmen Meza De la Cruz [MX]	W	9	3
